Year,Units,Country,GeoCode,Value
2001,Certified woodland area (hectares),,,1061062.0
2002,Certified woodland area (hectares),,,1075356.0
2004,Certified woodland area (hectares),,,1159944.0
2005,Certified woodland area (hectares),,,1257091.0
2006,Certified woodland area (hectares),,,1272510.0
2007,Certified woodland area (hectares),,,1324920.0
2008,Certified woodland area (hectares),,,1309680.0
2009,Certified woodland area (hectares),,,1332050.0
2010,Certified woodland area (hectares),,,1347258.0
2011,Certified woodland area (hectares),,,1324053.0
2012,Certified woodland area (hectares),,,1365560.0
2013,Certified woodland area (hectares),,,1362561.0
2014,Certified woodland area (hectares),,,1376970.0
2015,Certified woodland area (hectares),,,1375504.0
2016,Certified woodland area (hectares),,,1350488.0
2017,Certified woodland area (hectares),,,1388225.0
2001,Total woodland area (hectares),,,2971294.0
2002,Total woodland area (hectares),,,2985421.0
2004,Total woodland area (hectares),,,3011040.0
2005,Total woodland area (hectares),,,3021344.0
2006,Total woodland area (hectares),,,3029699.0
2007,Total woodland area (hectares),,,3040799.0
2008,Total woodland area (hectares),,,3047972.0
2009,Total woodland area (hectares),,,3054145.0
2010,Total woodland area (hectares),,,3059238.0
2011,Total woodland area (hectares),,,3067314.0
2012,Total woodland area (hectares),,,3110493.0
2013,Total woodland area (hectares),,,3125310.0
2014,Total woodland area (hectares),,,3143463.0
2015,Total woodland area (hectares),,,3154000.0
2016,Total woodland area (hectares),,,3160242.0
2017,Total woodland area (hectares),,,3165978.0
2001,Certified woodland area (hectares),England,E92000001,289527.0
2001,Total woodland area (hectares),England,E92000001,1257011.0
2002,Certified woodland area (hectares),England,E92000001,296576.0
2002,Total woodland area (hectares),England,E92000001,1261985.0
2004,Certified woodland area (hectares),England,E92000001,298263.0
2004,Total woodland area (hectares),England,E92000001,1271746.0
2005,Certified woodland area (hectares),England,E92000001,343700.0
2005,Total woodland area (hectares),England,E92000001,1276695.0
2006,Certified woodland area (hectares),England,E92000001,353577.0
2006,Total woodland area (hectares),England,E92000001,1280081.0
2007,Certified woodland area (hectares),England,E92000001,363862.0
2007,Total woodland area (hectares),England,E92000001,1283020.0
2008,Certified woodland area (hectares),England,E92000001,345266.0
2008,Total woodland area (hectares),England,E92000001,1285414.0
2009,Certified woodland area (hectares),England,E92000001,352498.0
2009,Total woodland area (hectares),England,E92000001,1287738.0
2010,Certified woodland area (hectares),England,E92000001,357170.0
2010,Total woodland area (hectares),England,E92000001,1289853.0
2011,Certified woodland area (hectares),England,E92000001,335219.0
2011,Total woodland area (hectares),England,E92000001,1292385.0
2012,Certified woodland area (hectares),England,E92000001,354974.0
2012,Total woodland area (hectares),England,E92000001,1297684.0
2013,Certified woodland area (hectares),England,E92000001,354739.0
2013,Total woodland area (hectares),England,E92000001,1298224.0
2014,Certified woodland area (hectares),England,E92000001,349241.0
2014,Total woodland area (hectares),England,E92000001,1301913.0
2015,Certified woodland area (hectares),England,E92000001,355668.0
2015,Total woodland area (hectares),England,E92000001,1304339.0
2016,Certified woodland area (hectares),England,E92000001,337106.0
2016,Total woodland area (hectares),England,E92000001,1305749.0
2017,Certified woodland area (hectares),England,E92000001,336753.0
2017,Total woodland area (hectares),England,E92000001,1306733.0
2001,Certified woodland area (hectares),Wales,W92000004,124344.0
2001,Total woodland area (hectares),Wales,W92000004,300230.0
2002,Certified woodland area (hectares),Wales,W92000004,123941.0
2002,Total woodland area (hectares),Wales,W92000004,300501.0
2004,Certified woodland area (hectares),Wales,W92000004,126653.0
2004,Total woodland area (hectares),Wales,W92000004,301288.0
2005,Certified woodland area (hectares),Wales,W92000004,131241.0
2005,Total woodland area (hectares),Wales,W92000004,301804.0
2006,Certified woodland area (hectares),Wales,W92000004,131132.0
2006,Total woodland area (hectares),Wales,W92000004,302276.0
2007,Certified woodland area (hectares),Wales,W92000004,132588.0
2007,Total woodland area (hectares),Wales,W92000004,302771.0
2008,Certified woodland area (hectares),Wales,W92000004,129963.0
2008,Total woodland area (hectares),Wales,W92000004,302931.0
2009,Certified woodland area (hectares),Wales,W92000004,133738.0
2009,Total woodland area (hectares),Wales,W92000004,303088.0
2010,Certified woodland area (hectares),Wales,W92000004,133474.0
2010,Total woodland area (hectares),Wales,W92000004,303269.0
2011,Certified woodland area (hectares),Wales,W92000004,133604.0
2011,Total woodland area (hectares),Wales,W92000004,303566.0
2012,Certified woodland area (hectares),Wales,W92000004,138295.0
2012,Total woodland area (hectares),Wales,W92000004,304564.0
2013,Certified woodland area (hectares),Wales,W92000004,139441.0
2013,Total woodland area (hectares),Wales,W92000004,305406.0
2014,Certified woodland area (hectares),Wales,W92000004,141121.0
2014,Total woodland area (hectares),Wales,W92000004,305832.0
2015,Certified woodland area (hectares),Wales,W92000004,141347.0
