Year,Units,Value
2006/07,Male percentage (%),82.88877601
2007/08,Male percentage (%),83.06835828
2008/09,Male percentage (%),83.44130917
2009/10,Male percentage (%),84.80688286
2010/11,Male percentage (%),86.05945105
2011/12,Male percentage (%),87.03064344
2012/13,Male percentage (%),84.76091627
2006/07,Female percentage (%),56.04465894
2007/08,Female percentage (%),56.33030281
2008/09,Female percentage (%),57.370200399999995
2009/10,Female percentage (%),61.04075977
2010/11,Female percentage (%),63.52222796
2011/12,Female percentage (%),64.57966397
2012/13,Female percentage (%),56.75393499
2013/14,Male percentage (%),85.08
2013/14,Female percentage (%),57.95
2014/15,Male percentage (%),85.8
2014/15,Female percentage (%),61.7
2015/16,Male percentage (%),87.9
2015/16,Female percentage (%),61.7
