Year,Units,Value
2009,Land use (000s hectares),18052.19112
2010,Land use (000s hectares),18108.876669999998
2011,Land use (000s hectares),18107.590969999997
2012,Land use (000s hectares),18195.26587
2013,Land use (000s hectares),18193.24133
2014,Land use (000s hectares),18295.98476
2015,Land use (000s hectares),18213.72701
2016,Land use (000s hectares),18400.15619
2000,Timber (000s green tonnes),8076.0
2001,Timber (000s green tonnes),8126.0
2002,Timber (000s green tonnes),8063.0
2003,Timber (000s green tonnes),8469.0
2004,Timber (000s green tonnes),8654.0
2005,Timber (000s green tonnes),8670.0
2006,Timber (000s green tonnes),8681.0
2007,Timber (000s green tonnes),9176.0
2008,Timber (000s green tonnes),8669.0
2009,Timber (000s green tonnes),8928.0
2010,Timber (000s green tonnes),9793.0
2011,Timber (000s green tonnes),10597.0
2012,Timber (000s green tonnes),10652.0
2013,Timber (000s green tonnes),11497.0
2014,Timber (000s green tonnes),12065.0
2015,Timber (000s green tonnes),11223.0
2016,Timber (000s green tonnes),11324.0
