Year,Units,Value
2001,Certified woodland area (ha),1061062.0
2001,Total woodland area (ha),2971294.0
2002,Certified woodland area (ha),1075356.0
2002,Total woodland area (ha),2985421.0
2004,Certified woodland area (ha),1159944.0
2004,Total woodland area (ha),3011040.0
2005,Certified woodland area (ha),1257091.0
2005,Total woodland area (ha),3021344.0
2006,Certified woodland area (ha),1272510.0
2006,Total woodland area (ha),3029699.0
2007,Certified woodland area (ha),1324920.0
2007,Total woodland area (ha),3040799.0
2008,Certified woodland area (ha),1309680.0
2008,Total woodland area (ha),3047972.0
2009,Certified woodland area (ha),1332050.0
2009,Total woodland area (ha),3054145.0
2010,Certified woodland area (ha),1347258.0
2010,Total woodland area (ha),3059238.0
2011,Certified woodland area (ha),1324053.0
2011,Total woodland area (ha),3067314.0
2012,Certified woodland area (ha),1365560.0
2012,Total woodland area (ha),3110493.0
2013,Certified woodland area (ha),1362561.0
2013,Total woodland area (ha),3125310.0
2014,Certified woodland area (ha),1376970.0
2014,Total woodland area (ha),3143463.0
2015,Certified woodland area (ha),1375504.0
2015,Total woodland area (ha),3154000.0
2016,Certified woodland area (ha),1350488.0
2016,Total woodland area (ha),3160242.0
2017,Certified woodland area (ha),1388225.0
2017,Total woodland area (ha),3165978.0
2001,Percentage of woodland area certified (%),35.7
2002,Percentage of woodland area certified (%),36.0
2004,Percentage of woodland area certified (%),38.5
2005,Percentage of woodland area certified (%),41.6
2006,Percentage of woodland area certified (%),42.0
2007,Percentage of woodland area certified (%),43.6
2008,Percentage of woodland area certified (%),43.0
2009,Percentage of woodland area certified (%),43.6
2010,Percentage of woodland area certified (%),44.0
2011,Percentage of woodland area certified (%),43.2
2012,Percentage of woodland area certified (%),43.9
2013,Percentage of woodland area certified (%),43.6
2014,Percentage of woodland area certified (%),43.8
2015,Percentage of woodland area certified (%),43.6
2016,Percentage of woodland area certified (%),42.7
2017,Percentage of woodland area certified (%),44.0
2005,Annual certified woodland area growth rate (%),8.375108052
2005,Annual total woodland area growth rate (%),0.342205052
2006,Annual certified woodland area growth rate (%),1.2265641109999998
2006,Annual total woodland area growth rate (%),0.276528216
2007,Annual certified woodland area growth rate (%),4.118652198
2007,Annual total woodland area growth rate (%),0.36639953399999997
2008,Annual certified woodland area growth rate (%),-1.15031279
2008,Annual total woodland area growth rate (%),0.235884875
2009,Annual certified woodland area growth rate (%),1.7080582080000002
2009,Annual total woodland area growth rate (%),0.20253175399999998
2010,Annual certified woodland area growth rate (%),1.141729664
2010,Annual total woodland area growth rate (%),0.166756495
2011,Annual certified woodland area growth rate (%),-1.722387083
2011,Annual total woodland area growth rate (%),0.26397813
2012,Annual certified woodland area growth rate (%),3.1348258660000003
2012,Annual total woodland area growth rate (%),1.407703287
2013,Annual certified woodland area growth rate (%),-0.21957665399999998
2013,Annual total woodland area growth rate (%),0.476364014
2014,Annual certified woodland area growth rate (%),1.0574611859999998
2014,Annual total woodland area growth rate (%),0.58082906
2015,Annual certified woodland area growth rate (%),-0.106452269
2015,Annual total woodland area growth rate (%),0.33520180899999996
2016,Annual certified woodland area growth rate (%),-1.8187216130000001
2016,Annual total woodland area growth rate (%),0.197917913
2017,Annual certified woodland area growth rate (%),2.794334399
2017,Annual total woodland area growth rate (%),0.181493989
