Year,Units,Value
2007,Percentage (%) with English proficiency,64.6
2007,Percentage (%) with Maths proficiency,59.3
2008,Percentage (%) with English proficiency,66.1
2008,Percentage (%) with Maths proficiency,61.4
2009,Percentage (%) with English proficiency,69.8
2009,Percentage (%) with Maths proficiency,64.6
2010,Percentage (%) with English proficiency,72.3
2010,Percentage (%) with Maths proficiency,67.0
2011,Percentage (%) with English proficiency,69.3
2011,Percentage (%) with Maths proficiency,70.9
2012,Percentage (%) with English proficiency,70.7
2012,Percentage (%) with Maths proficiency,72.8
2013,Percentage (%) with English proficiency,72.4
2013,Percentage (%) with Maths proficiency,68.0
2014,Percentage (%) with English proficiency,74.77973568
2014,Percentage (%) with Maths proficiency,70.49239033
2015,Percentage (%) with English proficiency,72.81065089
2015,Percentage (%) with Maths proficiency,71.86915888
2016,Percentage (%) with English proficiency,69.6
2016,Percentage (%) with Maths proficiency,70.4
2015,Percentage (%) with English and Maths proficiency,61.1
