Year,Units,Value
2000,Percentage of national budget,65.15631434
2001,Percentage of national budget,66.19322177
2002,Percentage of national budget,66.95978205
2003,Percentage of national budget,66.01007118
2004,Percentage of national budget,65.6851937
2005,Percentage of national budget,65.22631225
2006,Percentage of national budget,64.85161006
2007,Percentage of national budget,64.77870305
2008,Percentage of national budget,62.37228481
2009,Percentage of national budget,65.31672344
2010,Percentage of national budget,65.24617464
2011,Percentage of national budget,65.47982703
2012,Percentage of national budget,65.78560864
2013,Percentage of national budget,66.64518237
2014,Percentage of national budget,67.38984609
2015,Percentage of national budget,68.13987609
2000,Percentage of GDP,17.19810667
2001,Percentage of GDP,18.19998747
2002,Percentage of GDP,19.3823553
2003,Percentage of GDP,20.19938049
2004,Percentage of GDP,21.25898225
2005,Percentage of GDP,21.92779266
2006,Percentage of GDP,22.60317812
2007,Percentage of GDP,23.27682002
2008,Percentage of GDP,25.04367671
2009,Percentage of GDP,28.3376781
2010,Percentage of GDP,28.91882251
2011,Percentage of GDP,28.63680448
2012,Percentage of GDP,29.09953406
2013,Percentage of GDP,28.92871702
2014,Percentage of GDP,29.06991488
2015,Percentage of GDP,28.9170488
