Year,Units,Value
2000,GDP (£) per capita,317.8848659
2000,Percentage (%),4.0227106180000005
2001,GDP (£) per capita,288.41371610000004
2001,Percentage (%),3.443720648
2002,GDP (£) per capita,317.6413316
2002,Percentage (%),3.5182348560000003
2003,GDP (£) per capita,351.12606830000004
2003,Percentage (%),3.559081777
2004,GDP (£) per capita,351.5572874
2004,Percentage (%),3.324515701
2005,GDP (£) per capita,357.5702701
2005,Percentage (%),3.186046409
2006,GDP (£) per capita,430.77838660000003
2006,Percentage (%),3.631729365
2007,GDP (£) per capita,460.52535020000005
2007,Percentage (%),3.718813993
2008,GDP (£) per capita,468.8485664
2008,Percentage (%),3.458186439
2009,GDP (£) per capita,495.1132741
2009,Percentage (%),3.550220895
2010,GDP (£) per capita,498.74520989999996
2010,Percentage (%),3.463967588
2011,GDP (£) per capita,470.7111153
2011,Percentage (%),3.31177292
2012,GDP (£) per capita,456.3221097
2012,Percentage (%),3.088757962
2013,GDP (£) per capita,418.3091363
2013,Percentage (%),2.935355623
2014,GDP (£) per capita,431.4919625
2014,Percentage (%),2.9807570969999997
2015,GDP (£) per capita,424.6659499
2015,Percentage (%),2.942644506
